LOCATION,TOTAL CASES,DEATHS,POPULATION
Aberdeen,229,NA,"18,636"
Allenhurst,5,NA,485
Allentown,8,NA,"1,788"
Asbury Park,195,NA,"15,511"
Atlantic Highlands,30,NA,"4,316"
Avon-by-the-Sea,12,NA,"1,780"
Belmar,31,NA,"5,587"
Bradley Beach,43,NA,"4,174"
Brielle,29,NA,"4,691"
Colts Neck,73,NA,"9,879"
Deal,25,NA,723
Eatontown,262,NA,"12,242"
Englishtown,40,NA,"1,925"
Fair Haven,25,NA,"5,820"
Farmingdale,14,NA,"1,321"
Freehold Borough,373,NA,"11,767"
Freehold Township,619,NA,"34,735"
Hazlet,280,NA,"19,802"
Highlands,30,NA,"4,769"
Holmdel,237,NA,"16,662"
Howell,588,NA,"52,114"
Interlaken,4,NA,792
Keansburg,170,NA,"9,719"
Keyport,90,NA,"7,053"
Lake Como,16,NA,"1,694"
Little Silver,34,NA,"5,813"
Loch Arbour,1,NA,181
Long Branch,489,NA,"30,406"
Manalapan,444,NA,"39,596"
Manasquan,30,NA,"5,846"
Marlboro,432,NA,"39,874"
Matawan,175,NA,"8,736"
Middletown,642,NA,"65,490"
Millstone,82,NA,"10,453"
Monmouth Beach,19,NA,"3,228"
Neptune City,54,NA,"27,595"
Neptune Township,466,NA,"4,645"
Ocean,289,NA,"26,708"
Oceanport,59,NA,"5,751"
Red Bank,194,NA,"12,048"
Roosevelt,6,NA,842
Rumson,34,NA,"6,776"
Sea Bright,9,NA,"1,364"
Sea Girt,14,NA,"1,771"
Shrewsbury Borough,50,NA,"4,085"
Shrewsbury Twp.,9,NA,"1,000"
Spring Lake,13,NA,"2,925"
Spring Lake Heights,20,NA,"4,555"
Tinton Falls,188,NA,"17,563"
Union Beach,43,NA,"5,485"
Upper Freehold,51,NA,"7,019"
Wall,323,NA,"25,705"
West Long Branch,61,NA,"7,909"
Unknown,0,NA,NA
TOTAL,"7,659",520,"621,354"