town,population,county
Aberdeen,18636,Monmouth
Absecon,8442,Atlantic
Alexandria,4758,Hunterdon
Allamuchy,4640,Warren
Allendale,6792,Bergen
Allenhurst,485,Monmouth
Allentown,1788,Monmouth
Alloway,3338,Salem
Alpha,2273,Warren
Alpine,1860,Bergen
Andover_Borough,563,Sussex
Andover_Township,5914,Sussex
Asbury_Park,15511,Monmouth
Atlantic_City,37804,Atlantic
Atlantic_Highlands,4316,Monmouth
Audubon,8659,Camden
Audubon_Park,1004,Camden
Avalon,1247,Cape May
Avon-by-the-Sea,1780,Monmouth
Barnegat,23167,Ocean
Barnegat_Light,588,Ocean
Barrington,6683,Camden
Bass_River,1422,Burlington
Bay_Head,977,Ocean
Bayonne,65083,Hudson
Beach_Haven,1191,Ocean
Beachwood,11270,Ocean
Bedminster,8067,Somerset
Belleville,36602,Essex
Bellmawr,11374,Camden
Belmar,5587,Monmouth
Belvidere,2576,Warren
Bergenfield,27479,Bergen
Berkeley,41762,Ocean
Berkeley_Heights,13601,Union
Berlin_Borough,5643,Camden
Berlin_Township,7554,Camden
Bernards,27205,Somerset
Bernardsville,7686,Somerset
Bethlehem,3855,Hunterdon
Beverly,2484,Burlington
Blairstown,5728,Warren
Bloomfield,50172,Essex
Bloomingdale,8072,Passaic
Bloomsbury,840,Hunterdon
Bogota,8413,Bergen
Boonton,8212,Morris
Boonton_Township,4296,Morris
Bordentown_City,3801,Burlington
Bordentown_Township,11946,Burlington
Bound_Brook,10289,Somerset
Bradley_Beach,4174,Monmouth
Branchburg,14567,Somerset
Branchville,776,Sussex
Brick,75667,Ocean
Bridgeton,24442,Cumberland
Bridgewater,44646,Somerset
Brielle,4691,Monmouth
Brigantine,8765,Atlantic
Brooklawn,1912,Camden
Buena_Borough,4347,Atlantic
Buena_Vista_Township,7299,Atlantic
Burlington_City,9884,Burlington
Burlington_Township,22524,Burlington
Butler,7650,Morris
Byram,7983,Sussex
Caldwell,7970,Essex
Califon,1057,Hunterdon
Camden,73973,Camden
Cape_May,3448,Cape May
Cape_May_Point,276,Cape May
Carlstadt,6191,Bergen
Carneys_Point,7707,Salem
Carteret,23652,Middlesex
Cedar_Grove,12549,Essex
Chatham_Borough,8765,Morris
Chatham_Township,10284,Morris
Cherry_Hill,71009,Camden
Chesilhurst,1624,Camden
Chester_Borough,1644,Morris
Chester_Township,7777,Morris
Chesterfield,7500,Burlington
Cinnaminson,16375,Burlington
Clark,15943,Union
Clementon,4945,Camden
Cliffside_Park,25935,Bergen
Clifton,85273,Passaic
Clinton_Town,2683,Hunterdon
Clinton_Township,12877,Hunterdon
Closter,8582,Bergen
Collingswood,13916,Camden
Colts_Neck,9879,Monmouth
Commercial,4967,Cumberland
Corbin_City,493,Atlantic
Cranbury,4012,Middlesex
Cranford,24169,Union
Cresskill,8775,Bergen
Deal,723,Monmouth
Deerfield,3039,Cumberland
Delanco,4442,Burlington
Delaware,4435,Hunterdon
Delran,16524,Burlington
Demarest,4933,Bergen
Dennis,6182,Cape May
Denville,16669,Morris
Deptford,30430,Gloucester
Dover,17961,Morris
Downe,1501,Cumberland
Dumont,17697,Bergen
Dunellen,7272,Middlesex
Eagleswood,1608,Ocean
East_Amwell,3878,Hunterdon
East_Brunswick,48010,Middlesex
East_Greenwich,10583,Gloucester
East_Hanover,11054,Morris
East_Newark,2647,Hudson
East_Orange,64457,Essex
East_Rutherford,9764,Bergen
East_Windsor,27442,Mercer
Eastampton,5949,Burlington
Eatontown,12242,Monmouth
Edgewater,12720,Bergen
Edgewater_Park,8674,Burlington
Edison,100693,Middlesex
Egg_Harbor_City,4104,Atlantic
Egg_Harbor_Township,42578,Atlantic
Elizabeth,128885,Union
Elk,4173,Gloucester
Elmer,1310,Salem
Elmwood,20120,Bergen
Elmwood_Park,20120,Bergen
Elsinboro,974,Salem
Emerson,7643,Bergen
Englewood,28624,Bergen
Englewood_Cliffs,5385,Bergen
Englishtown,1925,Monmouth
Essex_Fells,2085,Essex
Estell_Manor,1720,Atlantic
Evesham,45060,Burlington
Ewing,36421,Mercer
Fair_Haven,5820,Monmouth
Fair_Lawn,33128,Bergen
Fairfield,7500,Essex
Fairfield,5902,Cumberland
Fairview,14295,Bergen
Fanwood,7704,Union
Far_Hills,911,Somerset
Farmingdale,1321,Monmouth
Fieldsboro,539,Burlington
Flemington,4589,Hunterdon
Florence,12540,Burlington
Florham_Park,11594,Morris
Folsom,1792,Atlantic
Fort_Lee,37921,Bergen
Frankford,5311,Sussex
Franklin,3046,Warren
Franklin,4738,Sussex
Franklin,65834,Somerset
Franklin,3515,Hunterdon
Franklin,16390,Gloucester
Franklin_Lakes,11096,Bergen
Fredon,3175,Sussex
Freehold_Borough,11767,Monmouth
Freehold_Township,34735,Monmouth
Frelinghuysen,2178,Warren
Frenchtown,1353,Hunterdon
Galloway,35967,Atlantic
Garfield,31866,Bergen
Garwood,4365,Union
Gibbsboro,2228,Camden
Glassboro,19992,Gloucester
Glen_Gardner,1912,Hunterdon
Glen_Ridge,7598,Essex
Glen_Rock,11829,Bergen
Gloucester,8686,Essex
Gloucester_City,11244,Camden
Gloucester_Township,63884,Camden
Green_Brook,7090,Somerset
Green,3476,Sussex
Greenwich,5474,Warren
Greenwich,4812,Gloucester
Greenwich,765,Cumberland
Guttenberg,11326,Hudson
Hackensack,44522,Bergen
Hackettstown,9463,Warren
Haddon_Heights,7541,Camden
Haddon_Township,14568,Camden
Haddonfield,11345,Camden
Hainesport,6003,Burlington
Haledon,8316,Passaic
Hamburg,3124,Sussex
Hamilton,87552,Mercer
Hamilton,25768,Atlantic
Hammonton,14085,Atlantic
Hampton,4869,Sussex
Hampton,1325,Hunterdon
Hanover,14428,Morris
Harding,3824,Morris
Hardwick,1631,Warren
Hardyston,7804,Sussex
Harmony,2486,Warren
Harrington_Park,4762,Bergen
Harrison,17836,Hudson
Harrison,13100,Gloucester
Harvey_Cedars,340,Ocean
Hasbrouck_Heights,12080,Bergen
Haworth,3430,Bergen
Hawthorne,18786,Passaic
Hazlet,19802,Monmouth
Helmetta,2182,Middlesex
High_Bridge,3450,Hunterdon
Highland_Park,13869,Middlesex
Highlands,4769,Monmouth
Hightstown,5315,Mercer
Hillsborough,39702,Somerset
Hillsdale,10405,Bergen
Hillside,22054,Union
Hi-Nella,860,Camden
Hoboken,53455,Hudson
Ho-Ho-Kus,4107,Bergen
Holland,5106,Hunterdon
Holmdel,16662,Monmouth
Hopatcong,14203,Sussex
Hope,1876,Warren
Hopewell,4371,Cumberland
Hopewell_Borough,1916,Mercer
Hopewell_Township,17978,Mercer
Howell,52114,Monmouth
Independence,5444,Warren
Interlaken,792,Monmouth
Irvington,54233,Essex
Island_Heights,1674,Ocean
Jackson,57218,Ocean
Jamesburg,5951,Middlesex
Jefferson,21012,Morris
Jersey_City,265549,Hudson
Keansburg,9719,Monmouth
Kearny,41422,Hudson
Kenilworth,8220,Union
Keyport,7053,Monmouth
Kingwood,3738,Hunterdon
Kinnelon,10043,Morris
Knowlton,2945,Warren
Lacey,29118,Ocean
Lafayette,2377,Sussex
Lake_Como,1694,Monmouth
Lakehurst,2700,Ocean
Lakewood,104157,Ocean
Lambertville,3797,Hunterdon
Laurel_Springs,1873,Camden
Lavallette,1853,Ocean
Lawnside,2894,Camden
Lawrence,32668,Mercer
Lawrence,3099,Cumberland
Lebanon_Borough,1653,Hunterdon
Lebanon_Township,6089,Hunterdon
Leonia,9110,Bergen
Liberty,2820,Warren
Lincoln_Park,10246,Morris
Linden,42538,Union
Lindenwold,17314,Camden
Linwood,6740,Atlantic
Little_Egg_Harbor,21386,Ocean
Little_Falls,14563,Passaic
Little_Ferry,10822,Bergen
Little_Silver,5813,Monmouth
Livingston,30054,Essex
Loch_Arbour,181,Monmouth
Lodi,24551,Bergen
Logan,5900,Gloucester
Long_Beach_Township,3067,Ocean
Long_Branch,30406,Monmouth
Long_Hill,8560,Morris
Longport,858,Atlantic
Lopatcong,8322,Warren
Lower_Alloways_Creek,1675,Salem
Lower_Township,21490,Cape May
Lumberton,12205,Burlington
Lyndhurst,22580,Bergen
Madison,16522,Morris
Magnolia,4275,Camden
Mahwah,26380,Bergen
Manalapan,39596,Monmouth
Manasquan,5846,Monmouth
Manchester,43416,Ocean
Mannington,1730,Salem
Mansfield,7384,Warren
Mansfield,8527,Burlington
Mantoloking,257,Ocean
Mantua,14899,Gloucester
Manville,10234,Somerset
Maple_Shade,18528,Burlington
Maplewood,25232,Essex
Margate,5959,Atlantic
Marlboro,39874,Monmouth
Matawan,8736,Monmouth
Maurice_River,6030,Cumberland
Maywood,9694,Bergen
Medford,23355,Burlington
Medford_Lakes,3947,Burlington
Medford_Township,23355,Burlington
Mendham_Borough,4910,Morris
Mendham_Township,5744,Morris
Merchantville,3713,Camden
Metuchen,14382,Middlesex
Middle_Township,18302,Cape May
Middlesex,13712,Middlesex
Middletown,65490,Monmouth
Midland_Park,7265,Bergen
Milford,1180,Hunterdon
Millburn,20171,Essex
Millstone,412,Somerset
Millstone,10453,Monmouth
Milltown,7034,Middlesex
Millville,27633,Cumberland
Mine_Hill,3531,Morris
Monmouth_Beach,3228,Monmouth
Monroe,44818,Middlesex
Monroe,36962,Gloucester
Monroeville,5288,Salem
Montague,3668,Sussex
Montclair,38676,Essex
Montgomery,23269,Somerset
Montvale,8600,Bergen
Montville,21330,Morris
Moonachie,2743,Bergen
Moorestown,20355,Burlington
Morris_Plains,5912,Morris
Morris_Township,22207,Morris
Morristown,19145,Morris
Mount_Arlington,5877,Morris
Mount_Ephraim,4597,Camden
Mount_Holly,9566,Burlington
Mount_Laurel,41196,Burlington
Mount_Olive,29051,Morris
Mountain_Lakes,4276,Morris
Mountainside,6892,Union
Mullica,5924,Atlantic
National_Park,2958,Gloucester
Neptune_City,4645,Monmouth
Neptune_Township,27595,Monmouth
Netcong,3173,Morris
New_Brunswick,56100,Middlesex
New_Hanover,8033,Burlington
New_Milford,16558,Bergen
New_Providence,13486,Union
Newark,282090,Essex
Newfield,1549,Gloucester
Newton,7938,Sussex
North_Arlington,15741,Bergen
North_Bergen,61627,Hudson
North_Brunswick,41848,Middlesex
North_Caldwell,6618,Essex
North_Haledon,8418,Passaic
North_Hanover,7502,Burlington
North_Plainfield,21535,Somerset
North_Wildwood,3792,Cape May
Northfield,8212,Atlantic
Northvale,4923,Bergen
Norwood,5831,Bergen
Nutley,28500,Essex
Oakland,13021,Bergen
Oaklyn,3963,Camden
Ocean,4256,Monmouth
Ocean_City,11206,Cape May
Ocean_Gate,2026,Ocean
Ocean_Grove,4256,Monmouth
Ocean_Township,9062,Ocean
Ocean_Township,26708,Monmouth
Oceanport,5751,Monmouth
Ogdensburg,2266,Sussex
Old_Bridge,65898,Middlesex
Old_Tappan,5946,Bergen
Oldsman,1795,Salem
Oradell,8193,Bergen
Orange,30658,Essex
Oxford,2433,Warren
Palisades_Park,20820,Bergen
Palmyra,7161,Burlington
Paramus,26558,Bergen
Park_Ridge,8786,Bergen
Parsippany,52265,Morris
Passaic,69948,Passaic
Paterson,145627,Passaic
Paulsboro,5882,Gloucester
Peapack-Gladstone,2591,Somerset
Pedricktown,508,Salem
Pemberton_Borough,1330,Burlington
Pemberton_Township,27071,Burlington
Pennington,2531,Mercer
Penns_Grove,4784,Salem
Pennsauken,35703,Camden
Pennsville,12456,Salem
Pequannock,15157,Morris
Perth_Amboy,51928,Middlesex
Phillipsburg,14303,Warren
Pilesgrove,3990,Salem
Pine_Beach,2172,Ocean
Pine_Hill,10439,Camden
Pine_Valley,12,Camden
Piscataway,56923,Middlesex
Pitman,8780,Gloucester
Pittsgrove,8832,Salem
Plainfield,50693,Union
Plainsboro,23071,Middlesex
Pleasantville,20376,Atlantic
Plumsted,8548,Ocean
Pohatcong,3197,Warren
Point_Pleasant_Beach,4542,Ocean
Point_Pleasant_Borough,18684,Ocean
Pompton_Lakes,11014,Passaic
Port_Republic,1058,Atlantic
Princeton,31386,Mercer
Prospect_Park,5859,Passaic
Quinton,2461,Salem
Rahway,29880,Union
Ramsey,14991,Bergen
Randolph,25619,Morris
Raritan,7875,Somerset
Raritan_Township,22219,Hunterdon
Readington,15840,Hunterdon
Red_Bank,12048,Monmouth
Ridgefield,11265,Bergen
Ridgefield_Park,13009,Bergen
Ridgewood,25272,Bergen
Ringwood,12226,Passaic
River_Edge,11531,Bergen
River_Vale,10062,Bergen
Riverdale,4190,Morris
Riverside,7834,Burlington
Riverton,2685,Burlington
Robbinsville,14583,Mercer
Rochelle_Park,5614,Bergen
Rockaway_Borough,6363,Morris
Rockaway_Township,25677,Morris
Rockleigh,533,Bergen
Rocky_Hill,677,Somerset
Roosevelt,842,Monmouth
Roseland,5851,Essex
Roselle,21902,Union
Roselle_Park,13650,Union
Roxbury,22912,Morris
Rumson,6776,Monmouth
Runnemede,8318,Camden
Rutherford,18460,Bergen
Saddle_Brook,13930,Bergen
Saddle_River,3197,Bergen
Salem,4747,Salem
Sandyston,1838,Sussex
Sayreville,44556,Middlesex
Scotch_Plains,24405,Union
Sea_Bright,1364,Monmouth
Sea_Girt,1771,Monmouth
Sea_Isle_City,2044,Cape May
Seaside_Heights,2906,Ocean
Seaside_Park,1545,Ocean
Secaucus,20742,Hudson
Shamong,6382,Burlington
Shiloh,492,Cumberland
Ship_Bottom,1146,Ocean
Shrewsbury_Borough,4085,Monmouth
Shrewsbury_Township,1000,Monmouth
Somerdale,5473,Camden
Somers_Point,10285,Atlantic
Somerville,12202,Somerset
South_Amboy,8921,Middlesex
South_Bound_Brook,4572,Somerset
South_Brunswick,45942,Middlesex
South_Hackensack,2466,Bergen
South_Harrison,3146,Gloucester
South_Orange,16743,Essex
South_Plainfield,24131,Middlesex
South_River,16023,Middlesex
South_Toms_River,3777,Ocean
Southampton,10124,Burlington
Sparta,18647,Sussex
Spotswood,8307,Middlesex
Spring_Lake,2925,Monmouth
Spring_Lake_Heights,4555,Monmouth
Springfield,17517,Union
Springfield,3268,Burlington
Stafford,27542,Ocean
Stanhope,3314,Sussex
Stillwater,3893,Sussex
Stockton,513,Hunterdon
Stone_Harbor,811,Cape May
Stow_Creek,1385,Cumberland
Stratford,6967,Camden
Summit,22016,Union
Surf_City,1193,Ocean
Sussex_Borough,2003,Sussex
Swedesboro,2579,Gloucester
Tabernacle,6822,Burlington
Tavistock,5,Camden
Teaneck,40619,Bergen
Tenafly,14641,Bergen
Teterboro,68,Bergen
Tewksbury,5788,Hunterdon
Tinton_Falls,17563,Monmouth
Toms_River,93717,Ocean
Totowa,10804,Passaic
Trenton,83974,Mercer
Tuckerton,3375,Ocean
Union,58757,Union
Union,5525,Hunterdon
Union_Beach,5485,Monmouth
Union_City,68520,Hudson
Upper_Deerfield,7380,Cumberland
Upper_Freehold,7019,Monmouth
Upper_Pittsgrove,3361,Salem
Upper_Saddle_River,8270,Bergen
Upper_Township,11857,Cape May
Ventnor,10039,Atlantic
Vernon,22091,Sussex
Verona,13420,Essex
Victory_Gardens,1490,Morris
Vineland,59966,Cumberland
Voorhees,29239,Camden
Waldwick,10207,Bergen
Wall,25705,Monmouth
Wallington,11591,Bergen
Walpack,11,Sussex
Wanaque,11741,Passaic
Wantage,10867,Sussex
Warren,15745,Somerset
Washington,710,Burlington
Washington_Borough,6452,Warren
Washington_Township,6421,Warren
Washington_Township,18401,Morris
Washington_Township,47517,Gloucester
Washington_Township,9246,Bergen
Watchung,6055,Somerset
Waterford,10707,Camden
Waterford_Works,10707,Camden
Wayne,53657,Passaic
Weehawken,14864,Hudson
Wenonah,2222,Gloucester
West_Amwell,2739,Hunterdon
West_Caldwell,10868,Essex
West_Cape_May,1004,Cape May
West_Deptford,21073,Gloucester
West_Long_Branch,7909,Monmouth
West_Milford,26392,Passaic
West_New_York,52990,Hudson
West_Orange,47720,Essex
West_Wildwood,558,Cape May
West_Windsor,28045,Mercer
Westampton,8682,Burlington
Westfield,29881,Union
Westfield_town,29881,Union
Westville,4163,Gloucester
Westwood,11155,Bergen
Weymouth,2814,Atlantic
Wharton,6457,Morris
White,4687,Warren
Wildwood,4998,Cape May
Wildwood_Crest,3074,Cape May
Willingboro,31887,Burlington
Winfield,1509,Union
Winslow,38699,Camden
Wood_Ridge,9159,Bergen
Woodbine,2436,Cape May
Woodbridge,100450,Middlesex
Woodbury,9852,Gloucester
Woodbury_Heights,2974,Gloucester
Woodcliff_Lake,5862,Bergen
Woodland,1769,Burlington
Woodland_Park,12614,Passaic
Woodlynne,2921,Camden
Wood-Ridge,9159,Bergen
Woodstown,3447,Salem
Woolwich,12786,Gloucester
Wrightstown,778,Burlington
Wyckoff,17068,Bergen
